day,category,total_households,total_couponed,total_non_couponed,coupon_rate,without_coupon_rate
287,syrups,1089,10,1113,0.89,99.11
679,syrups,1088,9,1127,0.79,99.21
427,syrups,1087,48,1073,4.28,95.72
445,syrups,1087,45,1110,3.90,96.10
77,syrups,1083,45,1090,3.96,96.04
627,syrups,1083,33,1088,2.94,97.06
630,syrups,1081,25,1111,2.20,97.80
530,syrups,1081,22,1105,1.95,98.05
49,syrups,1081,21,1100,1.87,98.13
151,syrups,1078,42,1098,3.68,96.32
715,syrups,1078,10,1115,0.89,99.11
385,syrups,1077,29,1089,2.59,97.41
109,syrups,1074,52,1086,4.57,95.43
78,syrups,1074,27,1086,2.43,97.57
564,syrups,1073,42,1080,3.74,96.26
434,syrups,1072,26,1090,2.33,97.67
105,syrups,1071,30,1095,2.67,97.33
91,syrups,1069,43,1071,3.86,96.14
239,syrups,1069,34,1087,3.03,96.97
336,syrups,1069,25,1098,2.23,97.77
694,syrups,1068,35,1079,3.14,96.86
35,syrups,1066,27,1069,2.46,97.54
442,syrups,1064,27,1068,2.47,97.53
601,syrups,1064,21,1098,1.88,98.12
673,syrups,1063,20,1081,1.82,98.18
232,syrups,1059,37,1071,3.34,96.66
63,syrups,1058,30,1065,2.74,97.26
246,syrups,1058,23,1076,2.09,97.91
615,syrups,1057,30,1085,2.69,97.31
463,syrups,1056,31,1063,2.83,97.17
610,syrups,1056,26,1073,2.37,97.63
666,syrups,1056,15,1081,1.37,98.63
700,syrups,1055,21,1074,1.92,98.08
554,syrups,1054,36,1057,3.29,96.71
85,syrups,1054,26,1071,2.37,97.63
386,syrups,1052,19,1066,1.75,98.25
358,syrups,1051,19,1068,1.75,98.25
319,syrups,1049,19,1071,1.74,98.26
415,syrups,1047,24,1059,2.22,97.78
561,syrups,1046,27,1052,2.50,97.50
516,syrups,1044,18,1088,1.63,98.37
315,syrups,1040,10,1065,0.93,99.07
36,syrups,1038,36,1042,3.34,96.66
218,syrups,1037,12,1075,1.10,98.90
74,syrups,1036,54,1042,4.93,95.07
330,syrups,1036,15,1058,1.40,98.60
46,syrups,1034,27,1043,2.52,97.48
718,syrups,1033,40,1061,3.63,96.37
470,syrups,1033,24,1051,2.23,97.77
106,syrups,1030,28,1045,2.61,97.39
487,syrups,1030,27,1067,2.47,97.53
428,syrups,1028,29,1034,2.73,97.27
655,syrups,1021,53,1027,4.91,95.09
149,syrups,1021,48,1026,4.47,95.53
638,syrups,1020,31,1017,2.96,97.04
533,syrups,1019,23,1030,2.18,97.82
631,syrups,1019,21,1035,1.99,98.01
406,syrups,1019,15,1041,1.42,98.58
382,syrups,1018,49,1013,4.61,95.39
652,syrups,1018,28,1030,2.65,97.35
435,syrups,1017,24,1026,2.29,97.71
410,syrups,1015,28,1031,2.64,97.36
599,syrups,1013,35,1026,3.30,96.70
